time	V(vout)
Step Information: Run=0  (Run: 1/65)
1.725405151021052e+000	1.780922e-003
1.749819213521052e+000	1.780605e-003
1.774233276021052e+000	1.780514e-003
1.798647338521052e+000	1.780927e-003
1.823061401021052e+000	1.782450e-003
1.847475463521052e+000	1.786449e-003
1.871889526021052e+000	1.797188e-003
1.891420776021052e+000	1.828944e-003
1.896303588521052e+000	1.859438e-003
1.901186401021052e+000	1.916370e-003
1.901415282856990e+000	1.931756e-003
1.902483398091365e+000	2.007438e-003
1.902864867817927e+000	2.068527e-003
1.903055602681208e+000	2.126993e-003
1.903131896626521e+000	2.179536e-003
1.903289252888728e+000	2.348545e-003
1.903322631489802e+000	2.466998e-003
1.903332168232966e+000	2.571658e-003
1.903351241719294e+000	2.939924e-003
1.903352521580256e+000	2.996867e-003
1.903355081302178e+000	3.185420e-003
1.903355721232659e+000	3.253642e-003
1.903357001093620e+000	3.474937e-003
1.903358640247642e+000	3.905119e-003
1.903359029951468e+000	4.100702e-003
1.903359809359120e+000	4.718607e-003
1.903359976018520e+000	4.940142e-003
1.903360309337321e+000	5.598940e-003
1.903360392667021e+000	5.844842e-003
1.903360559326421e+000	6.554888e-003
1.903360660259964e+000	7.216469e-003
1.903360791021115e+000	8.466422e-003
1.903360815508173e+000	8.812785e-003
1.903360864482288e+000	9.837159e-003
1.903360923903518e+000	1.171247e-002
1.903360972211949e+000	1.423712e-002
1.903361004524280e+000	1.711143e-002
1.903361027662476e+000	2.055812e-002
1.903361046359759e+000	2.515743e-002
1.903361062606553e+000	3.182439e-002
1.903361077105559e+000	4.200058e-002
1.903361090478496e+000	5.845839e-002
1.903361103793716e+000	8.700466e-002
1.903361118065365e+000	1.364236e-001
1.903361134128522e+000	2.147837e-001
1.903361153073813e+000	3.271684e-001
1.903361175482718e+000	4.722238e-001
1.903361202531013e+000	6.532850e-001
1.903361250786409e+000	9.810778e-001
1.903361347297202e+000	1.638739e+000
1.903361540318786e+000	2.917378e+000
1.903361600196534e+000	3.270737e+000
1.903361600575336e+000	3.272312e+000
1.903361601332940e+000	3.274221e+000
1.903361602257575e+000	3.275970e+000
1.903361603434696e+000	3.277910e+000
1.903361604567373e+000	3.279570e+000
1.903361606832728e+000	3.282328e+000
1.903361609960071e+000	3.285318e+000
1.903361614008458e+000	3.288121e+000
1.903361618806871e+000	3.290412e+000
1.903361624069480e+000	3.292104e+000
1.903361629600244e+000	3.293288e+000
1.903361637134073e+000	3.294353e+000
1.903361645564564e+000	3.295136e+000
1.903361657285180e+000	3.295828e+000
1.903361671156049e+000	3.296342e+000
1.903361691064625e+000	3.296790e+000
1.903361715757586e+000	3.297122e+000
1.903361752582385e+000	3.297406e+000
1.903361800530671e+000	3.297614e+000
1.903361875292367e+000	3.297787e+000
1.903361977634213e+000	3.297911e+000
1.903362146265341e+000	3.298011e+000
1.903362389528276e+000	3.298079e+000
1.903362820056180e+000	3.298132e+000
1.903364791046584e+000	3.298188e+000
1.903367419033790e+000	3.298201e+000
1.903372675008202e+000	3.298206e+000
1.903404210854672e+000	3.298207e+000
1.908744280856967e+000	3.298207e+000
1.918509905856967e+000	3.298208e+000
1.928275530856967e+000	3.298209e+000
1.942923968356967e+000	3.298210e+000
1.957572405856967e+000	3.298211e+000
1.972220843356967e+000	3.298212e+000
1.991752093356967e+000	3.298213e+000
2.016166155856967e+000	3.298214e+000
2.040580218356967e+000	3.298215e+000
2.069877093356967e+000	3.298216e+000
2.104056780856967e+000	3.298217e+000
2.138236468356967e+000	3.298218e+000
2.172416155856967e+000	3.298219e+000
2.211478655856967e+000	3.298219e+000
2.250541155856967e+000	3.298219e+000
2.294486468356967e+000	3.298218e+000
2.328666155856967e+000	3.298211e+000
2.357963030856967e+000	3.298186e+000
2.367728655856967e+000	3.298148e+000
2.372611468356967e+000	3.298103e+000
2.372840350192904e+000	3.298093e+000
